Date,Open,High,Low,Close,Adj Close,Volume
2014-09-17,0.00010700000000000001,0.00011,9e-05,9.8e-05,9.8e-05,2031
2014-09-18,9.8e-05,0.000103,8.8e-05,9.1e-05,9.1e-05,1248
2014-09-19,9.1e-05,9.4e-05,8.499999999999999e-05,9e-05,9e-05,2330
2014-09-20,9e-05,9.4e-05,8.4e-05,9e-05,9e-05,1886
2014-09-21,9e-05,9.1e-05,7.8e-05,8.2e-05,8.2e-05,2705
2014-09-22,8.2e-05,8.7e-05,7.900000000000001e-05,7.900000000000001e-05,7.900000000000001e-05,1177
2014-09-23,7.900000000000001e-05,8.7e-05,7.3e-05,8.7e-05,8.7e-05,1520
2014-09-24,8.7e-05,8.7e-05,7.6e-05,7.7e-05,7.7e-05,1320
2014-09-25,7.7e-05,8.8e-05,7.6e-05,8.4e-05,8.4e-05,2520
2014-09-26,8.4e-05,8.9e-05,8.1e-05,8.499999999999999e-05,8.499999999999999e-05,1938
2014-09-27,8.499999999999999e-05,9e-05,8.1e-05,8.4e-05,8.4e-05,1261
2014-09-28,8.4e-05,0.00010400000000000001,7.900000000000001e-05,7.900000000000001e-05,7.900000000000001e-05,3218
2014-09-29,7.900000000000001e-05,8.7e-05,7.7e-05,7.900000000000001e-05,7.900000000000001e-05,1647
2014-09-30,7.900000000000001e-05,8.2e-05,7.3e-05,7.900000000000001e-05,7.900000000000001e-05,1172
2014-10-01,8e-05,8.7e-05,7.7e-05,8.1e-05,8.1e-05,1936
2014-10-02,8.1e-05,8.1e-05,7.5e-05,7.5e-05,7.5e-05,690
2014-10-03,7.5e-05,8e-05,7.2e-05,7.2e-05,7.2e-05,1282
2014-10-04,7.2e-05,7.6e-05,5.9999999999999995e-05,6.3e-05,6.3e-05,956
2014-10-05,6.3e-05,6.4e-05,5.4000000000000005e-05,5.9e-05,5.9e-05,1326
2014-10-06,5.9e-05,7.099999999999999e-05,5.5e-05,6.4e-05,6.4e-05,1944
2014-10-07,6.4e-05,6.8e-05,5.9999999999999995e-05,6.1e-05,6.1e-05,692
2014-10-08,6.1e-05,6.6e-05,5.9999999999999995e-05,6.3e-05,6.3e-05,1173
2014-10-09,6.3e-05,7.2e-05,6.2e-05,6.6e-05,6.6e-05,1589
2014-10-10,6.6e-05,7.5e-05,6.3e-05,6.9e-05,6.9e-05,1355
2014-10-11,6.9e-05,7.2e-05,6.2e-05,6.500000000000001e-05,6.500000000000001e-05,781
2014-10-12,6.500000000000001e-05,6.8e-05,5.9999999999999995e-05,6.8e-05,6.8e-05,670
2014-10-13,6.8e-05,7.5e-05,5.9999999999999995e-05,7e-05,7e-05,1852
2014-10-14,7.099999999999999e-05,9e-05,7e-05,8e-05,8e-05,4715
2014-10-15,8e-05,8.4e-05,7.4e-05,7.900000000000001e-05,7.900000000000001e-05,2433
2014-10-16,7.900000000000001e-05,8e-05,7.099999999999999e-05,7.3e-05,7.3e-05,863
2014-10-17,7.3e-05,8e-05,7.099999999999999e-05,7.3e-05,7.3e-05,1082
2014-10-18,7.3e-05,7.8e-05,6.500000000000001e-05,7.4e-05,7.4e-05,3745
2014-10-19,7.4e-05,7.8e-05,7e-05,7e-05,7e-05,787
2014-10-20,7e-05,7.3e-05,6.8e-05,6.8e-05,6.8e-05,955
2014-10-21,6.8e-05,7.4e-05,6.500000000000001e-05,6.9e-05,6.9e-05,2012
2014-10-22,6.9e-05,7.3e-05,6.500000000000001e-05,6.500000000000001e-05,6.500000000000001e-05,2068
2014-10-23,6.500000000000001e-05,6.6e-05,5.7999999999999994e-05,6.1e-05,6.1e-05,1006
2014-10-24,5.7999999999999994e-05,6.8e-05,5.5e-05,6.8e-05,6.8e-05,2323
2014-10-25,7.099999999999999e-05,7.099999999999999e-05,5.5e-05,5.6000000000000006e-05,5.6000000000000006e-05,1299
2014-10-26,5.6000000000000006e-05,6.1e-05,5.2000000000000004e-05,5.2000000000000004e-05,5.2000000000000004e-05,593
2014-10-27,5.2000000000000004e-05,6.4e-05,5.2000000000000004e-05,5.9999999999999995e-05,5.9999999999999995e-05,2052
2014-10-28,5.3e-05,5.7999999999999994e-05,5.3e-05,5.3e-05,5.3e-05,564
2014-10-29,5.3e-05,5.6999999999999996e-05,4.5e-05,5e-05,5e-05,692
2014-10-30,4.7e-05,5e-05,4e-05,4.5e-05,4.5e-05,1183
2014-10-31,4.5e-05,5.1e-05,4.1e-05,4.7e-05,4.7e-05,987
2014-11-01,4.7e-05,5.7999999999999994e-05,4.5e-05,4.9e-05,4.9e-05,3642
2014-11-02,4.9e-05,5.6000000000000006e-05,4.8e-05,5.5e-05,5.5e-05,1069
2014-11-03,5.5e-05,5.9e-05,5.2000000000000004e-05,5.6000000000000006e-05,5.6000000000000006e-05,1814
2014-11-04,5.6000000000000006e-05,7.2e-05,5.5e-05,6.6e-05,6.6e-05,6592
2014-11-05,6.6e-05,7.5e-05,6.3e-05,6.500000000000001e-05,6.500000000000001e-05,2821
2014-11-06,6.4e-05,8.4e-05,6.4e-05,7.7e-05,7.7e-05,4693
2014-11-07,7.7e-05,8.499999999999999e-05,7.5e-05,8.1e-05,8.1e-05,2166
2014-11-08,8.1e-05,8.9e-05,7.6e-05,7.900000000000001e-05,7.900000000000001e-05,4552
2014-11-09,7.900000000000001e-05,8.9e-05,7.6e-05,8.7e-05,8.7e-05,4034
2014-11-10,8.6e-05,9e-05,7.099999999999999e-05,7.099999999999999e-05,7.099999999999999e-05,1800
2014-11-11,7.3e-05,7.4e-05,6.6e-05,6.7e-05,6.7e-05,1365
2014-11-12,6.500000000000001e-05,8e-05,6.3e-05,7.5e-05,7.5e-05,1483
2014-11-13,7.6e-05,8.6e-05,6.500000000000001e-05,7.4e-05,7.4e-05,1885
2014-11-14,7.4e-05,7.4e-05,5.6000000000000006e-05,5.6999999999999996e-05,5.6999999999999996e-05,1405
2014-11-15,5.6999999999999996e-05,5.9e-05,5.1e-05,5.6000000000000006e-05,5.6000000000000006e-05,1296
2014-11-16,5.5e-05,5.9999999999999995e-05,5.2000000000000004e-05,5.6999999999999996e-05,5.6999999999999996e-05,913
2014-11-17,5.6999999999999996e-05,6.3e-05,5.3e-05,5.3e-05,5.3e-05,865
2014-11-18,5.3e-05,5.7999999999999994e-05,3.8e-05,4.9e-05,4.9e-05,3442
2014-11-19,4.9e-05,5.2000000000000004e-05,4.5e-05,4.9e-05,4.9e-05,1072
2014-11-20,4.9e-05,5.2000000000000004e-05,4.4e-05,4.6e-05,4.6e-05,428
2014-11-21,4.6e-05,4.9e-05,4.2e-05,4.8e-05,4.8e-05,821
2014-11-22,4.8e-05,5.2000000000000004e-05,4.4e-05,4.5e-05,4.5e-05,765
2014-11-23,4.5e-05,5e-05,4.4e-05,4.7e-05,4.7e-05,551
2014-11-24,4.7e-05,5.1e-05,4.7e-05,4.9e-05,4.9e-05,712
2014-11-25,4.9e-05,5.2000000000000004e-05,4.3e-05,4.5e-05,4.5e-05,770
2014-11-26,4.5e-05,4.9e-05,4e-05,4.4e-05,4.4e-05,777
2014-11-27,4.4e-05,4.8e-05,4e-05,4.8e-05,4.8e-05,1338
2014-11-28,4.8e-05,8.3e-05,4e-05,6.4e-05,6.4e-05,9948
2014-11-29,6.2e-05,7.7e-05,5.9999999999999995e-05,6.9e-05,6.9e-05,6200
2014-11-30,7.3e-05,9.2e-05,6.8e-05,8e-05,8e-05,9129
2014-12-01,8e-05,8.8e-05,6.8e-05,7.4e-05,7.4e-05,6178
2014-12-02,7.4e-05,7.4e-05,6.500000000000001e-05,7.4e-05,7.4e-05,2568
2014-12-03,7.4e-05,7.5e-05,6.6e-05,6.7e-05,6.7e-05,3230
2014-12-04,6.6e-05,7e-05,6.2e-05,6.8e-05,6.8e-05,2801
2014-12-05,6.8e-05,7.099999999999999e-05,6.4e-05,6.8e-05,6.8e-05,3139
2014-12-06,6.8e-05,7e-05,6.4e-05,6.500000000000001e-05,6.500000000000001e-05,2745
2014-12-07,6.500000000000001e-05,6.7e-05,5.5e-05,5.9999999999999995e-05,5.9999999999999995e-05,1960
2014-12-08,5.9999999999999995e-05,6.7e-05,5.9e-05,6.2e-05,6.2e-05,1854
2014-12-09,6.2e-05,6.4e-05,5.5e-05,5.6000000000000006e-05,5.6000000000000006e-05,781
2014-12-10,5.6000000000000006e-05,6.1e-05,5.3e-05,5.5e-05,5.5e-05,2871
2014-12-11,5.5e-05,5.7999999999999994e-05,5.2000000000000004e-05,5.6999999999999996e-05,5.6999999999999996e-05,1207
2014-12-12,5.9e-05,5.9e-05,5.6000000000000006e-05,5.6000000000000006e-05,5.6000000000000006e-05,915
2014-12-13,5.4000000000000005e-05,5.6000000000000006e-05,5.2000000000000004e-05,5.4000000000000005e-05,5.4000000000000005e-05,530
2014-12-14,5.4000000000000005e-05,5.7999999999999994e-05,3.9e-05,5.3e-05,5.3e-05,631
2014-12-15,5.3e-05,5.3e-05,4.5e-05,4.5e-05,4.5e-05,1046
